Document,comment,stemming_str,sentiment,tfidf
ulasan 15,"54:51 WA GB dan sejenisnya, gua pernah make bbrp jenis😂

Terakhir make 2021.

Emang bener, kalo orang lain delete message atau delete story itu di kita bisa tetep keliatan tapi ada tandanya udh dihapus, ada settingannya di app nya😂

Goks wa gb 😂 flashback gwe😂",wa gb jenis gua pakai jenis pakai kalo orang delete message delete story tanda hapus settingannya app nya goks wa gb flashback gwe,negatif,delete:0.4219; jenis:0.3967; gb:0.3537; wa:0.2779; message:0.2209; goks:0.2209; flashback:0.2209; gwe:0.2209; pakai:0.2127; story:0.2109
ulasan 16,ketawa di menit 37:27 - 37:33,ketawa menit,positif,menit:0.7308; ketawa:0.6826
ulasan 17,"Kasus Bjorka karena kasus Dewi Vatikan, tuh  ?",bjorka dewi vatikan tuh,netral,dewi:0.6502; vatikan:0.6502; tuh:0.3465; bjorka:0.1855
ulasan 18,Seorang polisi menangkap penjahat lalu diperlakukan dengan kejam. Setelah diinterogasi lalu otaknya diambil untuk dijadikan akal menangkap penjahat.,polisi tangkap jahat laku kejam interogasi otak ambil jadi akal tangkap jahat,negatif,jahat:0.5274; kejam:0.3620; interogasi:0.3620; akal:0.2963; ambil:0.2896; tangkap:0.2853; otak:0.2698; jadi:0.2544; laku:0.2340; polisi:0.1206
ulasan 19,"Sampai sekarang aku masih bingung, siapa nama dokter perempuan di RS. Royal prima yang judes itu  ?",bingung nama dokter perempuan rs royal prima judes,netral,rs:0.3897; royal:0.3897; prima:0.3897; judes:0.3897; dokter:0.3721; perempuan:0.3596; bingung:0.2898; nama:0.2021
ulasan 20,"Anak punk, apaan sih   ?",anak punk sih,negatif,punk:0.7061; anak:0.5244; sih:0.4759
ulasan 21,Gimana masuk surga jika disangkain naksir...,masuk surga disangkain taksir,negatif,disangkain:0.5687; taksir:0.5687; surga:0.4992; masuk:0.3224
ulasan 22,Bjorka  ? Saya  ?,bjorka,netral,bjorka:1.0000
ulasan 23,"29:28 Namanya waktu itu Ngotot ingin 2 Priode dan Sampai Menghalalkan Segala Cara Masa Harus Dibongkar  Sama anak Sumatra😂
Kan Malu geng Mulyono",nama ngotot priode halal bongkar anak sumatra malu geng mulyono,negatif,priode:0.3945; halal:0.3945; ngotot:0.3767; geng:0.3542; sumatra:0.3462; mulyono:0.3336; bongkar:0.2756; nama:0.2046; malu:0.2015; anak:0.1784
ulasan 24,"Maaf izin bertanya om ded.
Untuk Skema iklan Scam (LEGAL) Pulsa Pada Tahun 2000 ann dulu yang Yang Om IKUT terkait dengan Skema itu , apakah om sudah tahu tujuan nya om terkait MENJALANKAN iklan rersebut? 
Yaitu : Ketik RAMAL spasi Nama Anda Kirim ke 9090",maaf izin om ded skema iklan scam legal pulsa ann om kait skema om tuju nya om kait jalan iklan rersebut ketik ramal spasi nama kirim,netral,skema:0.4092; om:0.3633; iklan:0.3357; kait:0.3265; ann:0.2143; rersebut:0.2143; spasi:0.2143; ramal:0.2046; ketik:0.1977; izin:0.1881
ulasan 25,Jadi KOMINFO masuk ini,kominfo masuk,negatif,kominfo:0.8194; masuk:0.5732
ulasan 26,Bjorka di luar negri tertawa melihat ini😂😂😂😂,bjorka negeri tertawa,positif,tertawa:0.7250; negeri:0.6250; bjorka:0.2894
ulasan 27,hacker tolong dong bobol ATM para pejabat biar rakyat tau darimana dia dapat pendapatan.,hacker tolong bobol atm jabat biar rakyat tau darimana dapat,negatif,atm:0.4521; darimana:0.4370; dapat:0.4004; bobol:0.3049; tolong:0.2908; jabat:0.2711; rakyat:0.2500; biar:0.2349; tau:0.2101; hacker:0.1772
ulasan 28,"Kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja Bjorka hidup dan ngga terungkap, sebagai kontrol sosial, siap siap aja tikus pengerat uang rakyat itu terungkap",kalo negeri coleng tikus biar bjorka hidup ungkap kontrol sosial tikus erat uang rakyat ungkap,netral,tikus:0.4929; ungkap:0.4744; coleng:0.3113; erat:0.3113; kontrol:0.2873; sosial:0.2492; hidup:0.2153; negeri:0.1918; uang:0.1862; rakyat:0.1644
ulasan 29,Bner bg... Polisi tau apa...,bang polisi tau,negatif,bang:0.6839; tau:0.5996; polisi:0.4155
ulasan 30,Heacker ko mau diwawancarai si kan kasihan heacker lainnya😂,heacker wawancara sih kasihan heacker,positif,heacker:0.8388; wawancara:0.3834; kasihan:0.3357; sih:0.1917
ulasan 31,"Polisi India cuma nangkap Shabu untuk dijual dan dipakai lagi, mana bisa nangkap tuannTakur",polisi india nangkap shabu jual pakai nangkap tuanntakur,positif,shabu:0.4942; tuanntakur:0.4942; nangkap:0.4754; india:0.3453; jual:0.2941; pakai:0.2380; polisi:0.1520
ulasan 32,Bjorka udah dipihak purbaya 😅,bjorka pihak purbaya,negatif,pihak:0.7071; purbaya:0.6725; bjorka:0.2185
ulasan 33,"Awal video g lgsg d tampilin orangnya... denger suara, kyak tau suara orang ini. Eeeeeeee d menit ke 2, lah.... kan orang ini barusan ku tonton ttng video thn lalu. Pantes aja sama. Gaya bicara jg sama... oalah... mas teguh.... mas teguh.... 😂",video langsung tampilin orang dengar suara kayak tau suara orang eeeeeeee menit orang barusan ku tonton ttng video gaya bicara oalah mas teguh mas teguh,negatif,video:0.3556; suara:0.3164; mas:0.2915; orang:0.2873; teguh:0.2815; eeeeeeee:0.2545; ttng:0.2545; tampilin:0.2431; barusan:0.2431; oalah:0.2431
ulasan 34,admin pekalongan cheater😂,admin kalong cheater,positif,cheater:0.6232; kalong:0.5609; admin:0.5450
ulasan 35,Gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran orang tua anak polisi,negatif,tua:0.5517; heran:0.5372; gua:0.4013; anak:0.3380; orang:0.2811; polisi:0.2298
ulasan 36,Hallo,halo,positif,halo:1.0000
ulasan 37,kocak bang🤣,kocak bang,negatif,kocak:0.7744; bang:0.6327
ulasan 38,Well. Unics 🙂,well unics,netral,well:0.7071; unics:0.7071
ulasan 39,"Ga ngaku d pukuli, ya mau gimana gesz ga ada pilihan wkwk😂, ladusing mah bebas",aku pukul ya gesz pilih wkwk ladusing mah bebas,negatif,pukul:0.4598; gesz:0.4598; bebas:0.3446; pilih:0.3266; ladusing:0.3052; wkwk:0.2793; aku:0.2736; mah:0.2639; ya:0.1898
ulasan 40,"Gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep 😂😂😂😂 krna polisinya sangat beda jauh dngan polisi luar

Dan buat kalian para hacker hati2 di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi, siapa tau keceplosan tentang si bjorka",gua kalo hacker negeri tinggal indonesia tangkap polisi beda polisi hacker hati podcast om ded strategi aparat gali informasi tau ceplos sih bjorka,negatif,ceplos:0.3501; gali:0.3073; strategi:0.2961; informasi:0.2667; hacker:0.2620; beda:0.2433; tinggal:0.2334; hati:0.2334; aparat:0.2324; negeri:0.2157
ulasan 41,"ENAKAN NONTON BEJO RKA BERAKSI , NIKMATIN AJA TONTONAN🤤",enak tonton bejo rka aksi nikmat tonton,netral,tonton:0.5014; rka:0.4289; bejo:0.3943; aksi:0.3943; nikmat:0.3866; enak:0.3229
ulasan 42,"Hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal. 
Tujuannya macem2, celahnya macem2 dan dalan dunia hacker juga kode etiknya 😂",hacker amat teknologi nikmat teknologi tipu handal tuju celah dal dunia hacker kode etik,netral,teknologi:0.4469; dal:0.3302; amat:0.3191; nikmat:0.2976; handal:0.2924; kode:0.2737; etik:0.2709; hacker:0.2588; celah:0.2501; tuju:0.2335
ulasan 43,#<eror>,eror,negatif,eror:1.0000
ulasan 44,wkwk suaranya teguh,wkwk suara teguh,netral,suara:0.6033; wkwk:0.5898; teguh:0.5368
ulasan 45,"Bisa tolong bantu kasus penipuan sekarang tidak pak, saya habis rugi hampir 3* juta karena khilaf, sudah ke OJK tapi tidak ada jalan, belum ke bank rekening yang saya transfer 

Bank2nya 
BRI_001901136860501_Susanto
BRI_0019 0113 6352 508_ERMA NINGSIH
BNI_ 1983016301_Teddy Abdurahman
Aladin syariah_Rikal Mahmud
Aladin syariah_ Kiki Sandra _ 50061988577
Mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan, mohon bantu agar tidak ada korban lagi 🙏🙏 terima kasih bang",tolong bantu tipu habis rugi juta khilaf ojk jalan bank rekening transfer bank brisusanto bri erma ningsih bni teddy abdurahman aladin syariahrikal mahmud aladin syariah kiki sandra mohon bantu qodar uang kembali mohon bantu korban terima kasih bang,negatif,aladin:0.3469; bantu:0.3060; mohon:0.2934; bank:0.2494; khilaf:0.1735; brisusanto:0.1735; erma:0.1735; ningsih:0.1735; bni:0.1735; teddy:0.1735
ulasan 46,"Klo masyarakat sipil seperti diriku ini, minta bantuan bang hacker ini, bayar berapa ya ?😅",kalo masyarakat sipil diri bantu bang hacker bayar ya,netral,sipil:0.4796; diri:0.4575; bayar:0.3414; bantu:0.3277; masyarakat:0.3262; bang:0.2821; kalo:0.2328; ya:0.2301; hacker:0.2086
ulasan 47,59:00 definisi menelan data mentah tanpa melalui penyelidikan ( main asal tangkep aja ),definisi tel data mentah lidi main tangkap,negatif,mentah:0.4838; lidi:0.4620; tel:0.4465; definisi:0.4345; main:0.2794; data:0.2353; tangkap:0.1759
ulasan 48,"Gw yang kehilangan akun aja, gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg",gue hilang akun gue laporin satsiber baju coklat kasih edukasi anjing,negatif,laporin:0.3934; satsiber:0.3756; edukasi:0.3630; anjing:0.3630; gue:0.3500; baju:0.3114; hilang:0.2475; coklat:0.2371; kasih:0.2303; akun:0.2248
ulasan 49,"Salfok sama tangan om ded yg keker banget, pasti abis dipump tuh tangan😊",salah fokus tangan om ded keker banget habis dipump tuh tangan,positif,tangan:0.6026; keker:0.3920; dipump:0.3920; fokus:0.2986; habis:0.2552; tuh:0.2089; ded:0.2016; banget:0.1820; salah:0.1737; om:0.1662
ulasan 50,Indo g butuh hacker / org Pinter butuh nya org bodoh yg bisa di kibulin terus😂,indonesia butuh hacker orang pintar butuh nya orang bodoh kibulin,negatif,butuh:0.6014; kibulin:0.4470; orang:0.3909; bodoh:0.3034; pintar:0.2751; indonesia:0.2067; hacker:0.1944; nya:0.1937
ulasan 51,Hidup di indo tu nothing to lose,hidup indonesia nothing lose,netral,nothing:0.6159; lose:0.6159; hidup:0.4258; indonesia:0.2451
ulasan 52,"WA yg udah keapus history chat nya emang masih bisa utuh log nya om,, bahkan masih bisa dibaca di kita 😅😅",wa keapus history chat nya utuh log nya om baca,positif,keapus:0.4150; utuh:0.4150; log:0.3962; history:0.3830; nya:0.3094; chat:0.2828; baca:0.2778; wa:0.2611; om:0.1759
ulasan 53,Bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan... 😂😂,bjorka tonton podcast tertawa pojok ngopi camil goreng,netral,camil:0.4929; pojok:0.4169; goreng:0.3946; ngopi:0.3614; tertawa:0.3522; podcast:0.2783; tonton:0.2751; bjorka:0.1406
ulasan 54,"Kasus besar yg pernah terjadi penangkapan di kota bandung 
Tepat nya di 
Perumahan setraduta penangkapan penipuan terbesar di kota bandung",tangkap kota bandung nya rumah setraduta tangkap tipu besar kota bandung,negatif,kota:0.6024; bandung:0.5665; setraduta:0.3154; besar:0.2424; rumah:0.2383; tangkap:0.2294; tipu:0.1864; nya:0.1176
ulasan 55,Om saya ikut bugbounty hack Tesla dapat 20.000usd di Bugcrowd,om bugbounty hack tesla usd bugcrowd,negatif,bugbounty:0.4699; tesla:0.4699; usd:0.4699; bugcrowd:0.4699; hack:0.2776; om:0.1992
ulasan 56,"15:22 Indonesia bukan gak mw rekrut mereka bg, tapi Indonesia menghargai ilmunya dibawah gaji HRD. Ditambah jaminan kerja utk dia dn kelurganya gk terjamin",indonesia rekrut bang indonesia harga ilmu bawah gaji hrd tambah jamin kerja kelurganya jamin,positif,jamin:0.5412; hrd:0.3380; kelurganya:0.3380; tambah:0.2739; indonesia:0.2690; bawah:0.2622; rekrut:0.2325; harga:0.2314; gaji:0.2303; ilmu:0.2209
ulasan 57,"Negara ini isinya Polisi otak2 Jadul,, Pemerintah Old mind..karena yg dipikir hanya Politik Praktis..isinya hny rebutan kekuasaan..soal teknologi, IT terlalu kejauhan",negara isi polisi otak jadul perintah old mindkarena pikir politik praktisisinya rebut kekuasaansoal teknologi jauh,negatif,mindkarena:0.3264; praktisisinya:0.3264; rebut:0.3264; kekuasaansoal:0.3264; jauh:0.3264; old:0.2931; jadul:0.2760; politik:0.2584; otak:0.2245; teknologi:0.2109
ulasan 58,Cyber Polri belum kelas nya Nangkep Byorka... Saat berita itu dia pasti tertawa terbahak bahak..😅😅,cyber polri kelas nya nangkep byorka berita tertawa bahak bahak,negatif,bahak:0.7526; tertawa:0.3063; byorka:0.2551; berita:0.2440; kelas:0.2379; cyber:0.2236; polri:0.2214; nangkep:0.1845; nya:0.1598
ulasan 59,Plot twist nya bjorka adalah polisi siber juga + admin fufu fafa + keluarga pa jokowi + didikan strategi prabowo + penjaga warnet:v,plot twist nya bjorka polisi siber admin fufu fafa keluarga jokowi dik strategi prabowo jaga warnetv,netral,warnetv:0.3422; dik:0.3267; strategi:0.2894; fufu:0.2809; fafa:0.2809; prabowo:0.2607; jokowi:0.2564; jaga:0.2564; siber:0.2545; admin:0.2491
ulasan 60,"Jujur ini tamu yg d undang yg yg ngundang biar sehat terus..
Mantaap banget..",jujur tamu undang ngundang biar sehat mantap banget,positif,ngundang:0.4400; sehat:0.4120; mantap:0.3765; tamu:0.3706; jujur:0.3688; undang:0.2980; biar:0.2659; banget:0.2489
ulasan 61,pitak,pitak,netral,pitak:1.0000
ulasan 62,"Yg setuju tolong like🙏, om ded undang bang teguh aprianto lagi.. bahas sistem hacking (maaf kalau salah sebut) yg di punya pak Purbaya😊.. dan adanya pak Purbaya apakah bang teguh bakalan tertarik buat Gambung di pemerintahan🙏🙏
Terus tanyain ke",tuju tolong like om ded undang bang teguh aprianto bahas sistem hacking maaf salah purbaya purbaya bang teguh tarik gambung perintah,positif,purbaya:0.5089; teguh:0.3206; bang:0.2935; gambung:0.2899; like:0.2545; aprianto:0.2156; tarik:0.2140; maaf:0.2004; hacking:0.1975; tuju:0.1958
ulasan 63,"OM TOLONG UNDANG MAS BOTOK DAN MAS TEGUH DARI PATI TENTANG PEMAKZULAN TANGGAL 31 OKTOBER. SIAPA TAU DENGAN DI UNDANGNYA MEREKA, KEBUSUKAN PEJABAT BISA TERBONGKAR😢",om tolong undang mas botok mas teguh pati makzul tanggal oktober tau undang busuk jabat bongkar,negatif,mas:0.3637; undang:0.3531; botok:0.3176; pati:0.3176; tanggal:0.3176; oktober:0.3176; makzul:0.3032; busuk:0.2419; bongkar:0.2218; tolong:0.1951
ulasan 64,Presiden Republik Indonesia Bapak Jenderal Prabowo Subianto harus memanggil Hecker2 Indonesia guna memperkuat pertahanan system Cyber Indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia jenderal prabowo subianto panggil hecker indonesia kuat tahan system cyber indonesia bocor data negeri,negatif,indonesia:0.3996; subianto:0.3348; republik:0.2787; jenderal:0.2787; panggil:0.2713; presiden:0.2573; prabowo:0.2550; kuat:0.2407; hecker:0.2326; tahan:0.2326
ulasan 65,bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korup..dan elu tayangin di tv nasional yang elu hack,bjorka lu aku hebat kalo buka jabat indonesia korupdan lu tayangin tv nasional lu hack,negatif,lu:0.5670; korupdan:0.3472; tayangin:0.3472; nasional:0.3048; tv:0.2891; buka:0.2087; hebat:0.2077; aku:0.2066; hack:0.2051; jabat:0.1988
ulasan 66,"Bjorka itu agen Polandia dilindungi  oleh NATO untuk obrak abrik Indonesia yang dekat dengan Tiongkok dan Rusia. 
LU AJA YANG TO LOL ATAU BELAGAK PILON.",bjorka agen polandia lindung nato obrak abrik indonesia tiongkok rusia lu lol bagak pilon,netral,nato:0.3155; obrak:0.3155; pilon:0.3155; tiongkok:0.3012; rusia:0.3012; bagak:0.3012; agen:0.2911; abrik:0.2911; polandia:0.2833; lol:0.2668
ulasan 67,"17:52_bikin 😂😂😂
27:04 - 30.00_spiritualitas ala orang IT.👍
33:04_😮 pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester 6 jur. Jaringan Internet di UT di Medan.",bikin spiritualitas ala orang pantesan anak ku libur gawenya semester jur jaring internet ut medan,netral,spiritualitas:0.3091; gawenya:0.3091; semester:0.3091; jur:0.3091; ut:0.3091; libur:0.2952; medan:0.2952; ala:0.2713; pantesan:0.2713; jaring:0.2266
ulasan 68,"Ya Krn polisi udh gda IQ nya
Di otaknya cuma duittt aja",ya polisi iq nya otak duittt,positif,duittt:0.6261; iq:0.5139; otak:0.4307; ya:0.2584; nya:0.2334; polisi:0.1925
ulasan 69,Mlah  nangkap anak pank😂😂,nangkap anak pank,negatif,pank:0.8225; nangkap:0.4143; anak:0.3897
ulasan 70,Mas teguh,mas teguh,netral,mas:0.7194; teguh:0.6946
ulasan 71,"Terkait dengan yang di sampaikan Mas Teguh ke Mas Dedi , berarti Polisi kualitas BOSOK ya? Bukan sekali - sepuluh kali salah tangkap dan over pede, tapi ratusan kali bahkan mungkin ribuan kali ya kan?",kait mas teguh mas dedi polisi kualitas bosok ya puluh kali salah tangkap over percaya ratus kali ribu kali ya,positif,kali:0.5013; mas:0.3461; bosok:0.3022; over:0.2789; puluh:0.2516; ya:0.2495; kait:0.2302; ratus:0.2302; kualitas:0.2186; dedi:0.2123
ulasan 72,"Hacker mau putih mau hitam, ga keren itu. Mending orang2 pintar kaya abang ini bangun hardware. Biar dampak ekonominya lebih luas. Sebelum semi semikonduktor, coba buat mobo aja dulu, atau sebelum mobo, bikin ram aja dulu, atau sebelum bikin ram, dst.",hacker putih hitam keren mending orang pintar kayak abang bangun hardware biar dampak ekonomi luas semi semikonduktor coba mobo mobo bikin ram bikin ram dst,negatif,mobo:0.4605; ram:0.4398; bikin:0.2379; semikonduktor:0.2303; hardware:0.2199; semi:0.2199; dst:0.2199; luas:0.1982; dampak:0.1890; ekonomi:0.1890
ulasan 73,"Saya kecewa dengan komdigi kecewa sebesar-besarnya, laporan tentang perjudian tidak ada yang di tanggapi saya udah sertakan link website dan screenshot untuk memvalidasi, konten live perjudian link dan screenshot nya juga masih nihil, gak ada yang bener bener di proses",kecewa komdigi kecewa sebesarbesarnya lapor judi tanggap serta link website screenshot memvalidasi konten live judi link screenshot nya nihil proses,positif,judi:0.4135; screenshot:0.3996; kecewa:0.3889; link:0.3727; sebesarbesarnya:0.2165; nihil:0.2165; memvalidasi:0.2068; live:0.1944; tanggap:0.1901; serta:0.1803
ulasan 74,"Perhatikan dan dengarkan dengan teliti di menit 33:15
🗣🗣🗣🗣",perhati dengar teliti menit,positif,teliti:0.5900; perhati:0.5382; dengar:0.4344; menit:0.4165
ulasan 75,Ingin kelihatan cerdas malah kelihatan bodonya itulh pemerintah kita karna semua pemerintahan kita di isi org gak bermutu,cerdas bodonya itulh perintah perintah isi orang mutu,netral,bodonya:0.4620; itulh:0.4620; perintah:0.4316; mutu:0.4149; cerdas:0.3119; isi:0.2954; orang:0.1738
ulasan 76,nangkep maling motor aja ga becus sok sokan mau nangkep bjorka ngimpi?,nangkep maling motor becus sok sok nangkep bjorka mimpi,positif,sok:0.5947; nangkep:0.4268; mimpi:0.3717; becus:0.3544; motor:0.3130; maling:0.2871; bjorka:0.1415
ulasan 77,"Idun Ngisrael .. semuanya bisa di hack, masalah kekeringan, perbankan, crypto pokoke sing digital"" mudah buat ngerjainnya...😂😂",idun ngisrael hack kering perban crypto pokoke sing digital mudah ngerjainnya,negatif,idun:0.3385; ngisrael:0.3385; kering:0.3385; pokoke:0.3385; ngerjainnya:0.3385; perban:0.3232; sing:0.3232; crypto:0.2863; digital:0.2449; hack:0.2000
ulasan 78,lebih better siap bang,better bang,netral,better:0.8545; bang:0.5195
ulasan 79,Aku curiga bang teguh ini yg bikin cheat pekalongan..😂,curiga bang teguh bikin cheat kalong,positif,curiga:0.4786; kalong:0.4748; cheat:0.4613; teguh:0.3503; bikin:0.3272; bang:0.3207
ulasan 80,"jadi inget film hacker yg bilang ""no system is safe"" yak emg begitulah mau gimana pun juga tetep aja ga aman.

twitter mod dulu jaman blackberry banyak, bisa auto rt kayak twittanic , rtwit dll",film hacker bilang no system is safe ya aman twitter mod jaman blackberry auto rt kayak twittanic rtwit dll,negatif,blackberry:0.3132; twittanic:0.3132; rtwit:0.3132; rt:0.2890; twitter:0.2812; auto:0.2607; safe:0.2429; is:0.2188; system:0.2176; no:0.2087
ulasan 81,"Betul, yg di tangkap Bukan hackers, nangkap orang yg salah. Hanya anak yatimpiatu",tangkap hackers nangkap orang salah anak yatimpiatu,negatif,yatimpiatu:0.6284; hackers:0.4974; nangkap:0.3022; anak:0.2842; salah:0.2784; orang:0.2364; tangkap:0.2285
ulasan 82,Gue yakin bjorka ngakak ketika liat postingan yang katanya dirinya udah ketangkep😂😂😂,gue bjorka akak lihat postingan ketangkep,positif,postingan:0.6279; akak:0.4322; ketangkep:0.3849; lihat:0.3762; gue:0.3027; bjorka:0.1941
ulasan 83,Bjorka.... Tolong pak PURBAYA dong.... Biar rakyat makmur semua... 🙏🏿🙏🏿🙏🏿🙏🏿,bjorka tolong purbaya biar rakyat makmur,positif,makmur:0.6026; purbaya:0.5289; tolong:0.3701; rakyat:0.3181; biar:0.2989; bjorka:0.1719
ulasan 84,Nangkep judol aja gabisa sok sok an nangkep bjorka,nangkep judol sok sok an nangkep bjorka,netral,sok:0.6994; nangkep:0.5020; an:0.3826; judol:0.2911; bjorka:0.1664
ulasan 85,Ahli REKAYASA DAN PRODUKSI HOAKS ADALAH INSTITUSI POLRI...Kaki tangan REZIM NJOKOWI... MODUS TSB ADALAH CARA UTK MERAIH JENJANG KARIER....PAMER PRESTASI...DAN UAPAYA MENUTUP AIB POLRI..DAN JUNJUNGANNYA...,ahli rekayasa produksi hoaks institusi polrikaki tangan rezim njokowi modus raih jenjang karierpamer prestasidan uapaya tutup aib polridan junjung,negatif,produksi:0.2538; hoaks:0.2538; polrikaki:0.2538; njokowi:0.2538; raih:0.2538; jenjang:0.2538; karierpamer:0.2538; prestasidan:0.2538; uapaya:0.2538; polridan:0.2538
ulasan 86,"Tolong saya siapapun hecker atau yang punya kenalan hacker tolong bantu saya saya diancam san harus bayar uang teruss, tolongggggg😭😭😭🙏🙏🙏🙏",tolong hecker kenal hacker tolong bantu ancam san bayar uang tolongggggg,negatif,tolong:0.4911; tolongggggg:0.3998; san:0.3818; ancam:0.3329; hecker:0.2778; kenal:0.2654; bayar:0.2449; uang:0.2391; bantu:0.2351; hacker:0.1496
ulasan 87,"Tolong aku siapapun itu 😭🙏🙏🙏, Ada yang tau ig nya mas hacker itu nggak bangg🙏🙏🙏, uang saya lagi di peras sama orang lain dan diancem bangg tolong bantu aku siapapun itu tolongg😭🙏🙏🙏",tolong tau ig nya mas hacker bang uang peras orang diancem bang tolong bantu tolongg,negatif,tolong:0.4419; bang:0.3642; diancem:0.3597; tolongg:0.3597; peras:0.3320; ig:0.2995; uang:0.2151; bantu:0.2115; mas:0.2060; tau:0.1596
ulasan 88,Menurut saya bjorka ini org dalam yg sengaja oleh oknum pejabat di setting sedemikian rupa untuk kepentingan politik,bjorka orang sengaja oknum jabat setting rupa penting politik,negatif,setting:0.4266; rupa:0.4266; penting:0.3849; politik:0.3761; sengaja:0.3437; oknum:0.3223; jabat:0.2721; orang:0.1788; bjorka:0.1355
ulasan 89,"Hacker itu orang seni it
Pemerintah harus rangkul 
Banyak putera & puteri terbaik Indonesia.",hacker orang seni perintah rangkul putera puter baik indonesia,negatif,putera:0.4654; puter:0.4654; seni:0.4179; rangkul:0.3874; baik:0.3156; perintah:0.2174; indonesia:0.1852; orang:0.1751; hacker:0.1741
ulasan 90,"Pas pembahasan deface, gw jadi inget dulu mampangin nama gede gede di web yg gw deface😂 malu banget kalo inget itu😂😂 hacked by 😂😂",pas bahas deface gue mampangin nama gede gede web gue deface malu banget kalo hacked by,positif,deface:0.5265; gede:0.4297; mampangin:0.3059; hacked:0.3059; gue:0.2722; by:0.2587; web:0.2228; pas:0.1950; bahas:0.1901; nama:0.1587
ulasan 91,🤣🤣😁polisi LUCU🤡,polisi lucu,netral,lucu:0.8717; polisi:0.4900
