comment,case_folding,cleansing
"Kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja Bjorka hidup dan ngga terungkap, sebagai kontrol sosial, siap siap aja tikus pengerat uang rakyat itu terungkap","kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja bjorka hidup dan ngga terungkap, sebagai kontrol sosial, siap siap aja tikus pengerat uang rakyat itu terungkap",kalo negeri ini masih banyak pencoleng dan tikusnya biarkan aja bjorka hidup dan ngga terungkap sebagai kontrol sosial siap siap aja tikus pengerat uang rakyat itu terungkap
Bner bg... Polisi tau apa...,bner bg... polisi tau apa...,bner bg polisi tau apa
Heacker ko mau diwawancarai si kan kasihan heacker lainnya😂,heacker ko mau diwawancarai si kan kasihan heacker lainnya😂,heacker ko mau diwawancarai si kan kasihan heacker lainnya
"Polisi India cuma nangkap Shabu untuk dijual dan dipakai lagi, mana bisa nangkap tuannTakur","polisi india cuma nangkap shabu untuk dijual dan dipakai lagi, mana bisa nangkap tuanntakur",polisi india cuma nangkap shabu untuk dijual dan dipakai lagi mana bisa nangkap tuanntakur
Bjorka udah dipihak purbaya 😅,bjorka udah dipihak purbaya 😅,bjorka udah dipihak purbaya
"Awal video g lgsg d tampilin orangnya... denger suara, kyak tau suara orang ini. Eeeeeeee d menit ke 2, lah.... kan orang ini barusan ku tonton ttng video thn lalu. Pantes aja sama. Gaya bicara jg sama... oalah... mas teguh.... mas teguh.... 😂","awal video g lgsg d tampilin orangnya... denger suara, kyak tau suara orang ini. eeeeeeee d menit ke 2, lah.... kan orang ini barusan ku tonton ttng video thn lalu. pantes aja sama. gaya bicara jg sama... oalah... mas teguh.... mas teguh.... 😂",awal video g lgsg d tampilin orangnya denger suara kyak tau suara orang ini eeeeeeee d menit ke lah kan orang ini barusan ku tonton ttng video thn lalu pantes aja sama gaya bicara jg sama oalah mas teguh mas teguh
admin pekalongan cheater😂,admin pekalongan cheater😂,admin pekalongan cheater
Gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran kok ada orang tua yang mau anaknya untuk jadi polisi,gua heran kok ada orang tua yang mau anaknya untuk jadi polisi
Hallo,hallo,hallo
kocak bang🤣,kocak bang🤣,kocak bang
Well. Unics 🙂,well. unics 🙂,well unics
"Ga ngaku d pukuli, ya mau gimana gesz ga ada pilihan wkwk😂, ladusing mah bebas","ga ngaku d pukuli, ya mau gimana gesz ga ada pilihan wkwk😂, ladusing mah bebas",ga ngaku d pukuli ya mau gimana gesz ga ada pilihan wkwk ladusing mah bebas
"Gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep 😂😂😂😂 krna polisinya sangat beda jauh dngan polisi luar

Dan buat kalian para hacker hati2 di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi, siapa tau keceplosan tentang si bjorka","gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep 😂😂😂😂 krna polisinya sangat beda jauh dngan polisi luar

dan buat kalian para hacker hati2 di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi, siapa tau keceplosan tentang si bjorka",gua yakin klo ada hacker dri luar negri tinggal di indo gak akan ke tangkep krna polisinya sangat beda jauh dngan polisi luar dan buat kalian para hacker hati di podcast om ded krna ini bagian dri strategi aparat juga untk menggali informasi siapa tau keceplosan tentang si bjorka
"ENAKAN NONTON BEJO RKA BERAKSI , NIKMATIN AJA TONTONAN🤤","enakan nonton bejo rka beraksi , nikmatin aja tontonan🤤",enakan nonton bejo rka beraksi nikmatin aja tontonan
"Hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal. 
Tujuannya macem2, celahnya macem2 dan dalan dunia hacker juga kode etiknya 😂","hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal. 
tujuannya macem2, celahnya macem2 dan dalan dunia hacker juga kode etiknya 😂",hacker adalah pengamat teknologi selaku penikmat teknologi dan penipu yg handal tujuannya macem celahnya macem dan dalan dunia hacker juga kode etiknya
#<eror>,#<eror>,eror
wkwk suaranya teguh,wkwk suaranya teguh,wkwk suaranya teguh
"Bisa tolong bantu kasus penipuan sekarang tidak pak, saya habis rugi hampir 3* juta karena khilaf, sudah ke OJK tapi tidak ada jalan, belum ke bank rekening yang saya transfer 

Bank2nya 
BRI_001901136860501_Susanto
BRI_0019 0113 6352 508_ERMA NINGSIH
BNI_ 1983016301_Teddy Abdurahman
Aladin syariah_Rikal Mahmud
Aladin syariah_ Kiki Sandra _ 50061988577
Mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan, mohon bantu agar tidak ada korban lagi 🙏🙏 terima kasih bang","bisa tolong bantu kasus penipuan sekarang tidak pak, saya habis rugi hampir 3* juta karena khilaf, sudah ke ojk tapi tidak ada jalan, belum ke bank rekening yang saya transfer 

bank2nya 
bri_001901136860501_susanto
bri_0019 0113 6352 508_erma ningsih
bni_ 1983016301_teddy abdurahman
aladin syariah_rikal mahmud
aladin syariah_ kiki sandra _ 50061988577
mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan, mohon bantu agar tidak ada korban lagi 🙏🙏 terima kasih bang",bisa tolong bantu kasus penipuan sekarang tidak pak saya habis rugi hampir juta karena khilaf sudah ke ojk tapi tidak ada jalan belum ke bank rekening yang saya transfer banknya brisusanto bri erma ningsih bni teddy abdurahman aladin syariahrikal mahmud aladin syariah kiki sandra mohon bantuannya kalau memang qodar uang saya tidak bisa dikembalikan mohon bantu agar tidak ada korban lagi terima kasih bang
"Klo masyarakat sipil seperti diriku ini, minta bantuan bang hacker ini, bayar berapa ya ?😅","klo masyarakat sipil seperti diriku ini, minta bantuan bang hacker ini, bayar berapa ya ?😅",klo masyarakat sipil seperti diriku ini minta bantuan bang hacker ini bayar berapa ya
59:00 definisi menelan data mentah tanpa melalui penyelidikan ( main asal tangkep aja ),59:00 definisi menelan data mentah tanpa melalui penyelidikan ( main asal tangkep aja ),definisi menelan data mentah tanpa melalui penyelidikan main asal tangkep aja
"Gw yang kehilangan akun aja, gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg","gw yang kehilangan akun aja, gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg",gw yang kehilangan akun aja gw laporin ke satsiber baju coklat cuma dikasih edukasi anj emg
"Salfok sama tangan om ded yg keker banget, pasti abis dipump tuh tangan😊","salfok sama tangan om ded yg keker banget, pasti abis dipump tuh tangan😊",salfok sama tangan om ded yg keker banget pasti abis dipump tuh tangan
Indo g butuh hacker / org Pinter butuh nya org bodoh yg bisa di kibulin terus😂,indo g butuh hacker / org pinter butuh nya org bodoh yg bisa di kibulin terus😂,indo g butuh hacker org pinter butuh nya org bodoh yg bisa di kibulin terus
Hidup di indo tu nothing to lose,hidup di indo tu nothing to lose,hidup di indo tu nothing to lose
"WA yg udah keapus history chat nya emang masih bisa utuh log nya om,, bahkan masih bisa dibaca di kita 😅😅","wa yg udah keapus history chat nya emang masih bisa utuh log nya om,, bahkan masih bisa dibaca di kita 😅😅",wa yg udah keapus history chat nya emang masih bisa utuh log nya om bahkan masih bisa dibaca di kita
Bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan... 😂😂,bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan... 😂😂,bjorka nonton podcast ini tertawa di pojokan sambil ngopi camilan gorengan
"Kasus besar yg pernah terjadi penangkapan di kota bandung 
Tepat nya di 
Perumahan setraduta penangkapan penipuan terbesar di kota bandung","kasus besar yg pernah terjadi penangkapan di kota bandung 
tepat nya di 
perumahan setraduta penangkapan penipuan terbesar di kota bandung",kasus besar yg pernah terjadi penangkapan di kota bandung tepat nya di perumahan setraduta penangkapan penipuan terbesar di kota bandung
Om saya ikut bugbounty hack Tesla dapat 20.000usd di Bugcrowd,om saya ikut bugbounty hack tesla dapat 20.000usd di bugcrowd,om saya ikut bugbounty hack tesla dapat usd di bugcrowd
"15:22 Indonesia bukan gak mw rekrut mereka bg, tapi Indonesia menghargai ilmunya dibawah gaji HRD. Ditambah jaminan kerja utk dia dn kelurganya gk terjamin","15:22 indonesia bukan gak mw rekrut mereka bg, tapi indonesia menghargai ilmunya dibawah gaji hrd. ditambah jaminan kerja utk dia dn kelurganya gk terjamin",indonesia bukan gak mw rekrut mereka bg tapi indonesia menghargai ilmunya dibawah gaji hrd ditambah jaminan kerja utk dia dn kelurganya gk terjamin
"Negara ini isinya Polisi otak2 Jadul,, Pemerintah Old mind..karena yg dipikir hanya Politik Praktis..isinya hny rebutan kekuasaan..soal teknologi, IT terlalu kejauhan","negara ini isinya polisi otak2 jadul,, pemerintah old mind..karena yg dipikir hanya politik praktis..isinya hny rebutan kekuasaan..soal teknologi, it terlalu kejauhan",negara ini isinya polisi otak jadul pemerintah old mindkarena yg dipikir hanya politik praktisisinya hny rebutan kekuasaansoal teknologi it terlalu kejauhan
Cyber Polri belum kelas nya Nangkep Byorka... Saat berita itu dia pasti tertawa terbahak bahak..😅😅,cyber polri belum kelas nya nangkep byorka... saat berita itu dia pasti tertawa terbahak bahak..😅😅,cyber polri belum kelas nya nangkep byorka saat berita itu dia pasti tertawa terbahak bahak
Plot twist nya bjorka adalah polisi siber juga + admin fufu fafa + keluarga pa jokowi + didikan strategi prabowo + penjaga warnet:v,plot twist nya bjorka adalah polisi siber juga + admin fufu fafa + keluarga pa jokowi + didikan strategi prabowo + penjaga warnet:v,plot twist nya bjorka adalah polisi siber juga admin fufu fafa keluarga pa jokowi didikan strategi prabowo penjaga warnetv
"Jujur ini tamu yg d undang yg yg ngundang biar sehat terus..
Mantaap banget..","jujur ini tamu yg d undang yg yg ngundang biar sehat terus..
mantaap banget..",jujur ini tamu yg d undang yg yg ngundang biar sehat terus mantaap banget
pitak,pitak,pitak
"Yg setuju tolong like🙏, om ded undang bang teguh aprianto lagi.. bahas sistem hacking (maaf kalau salah sebut) yg di punya pak Purbaya😊.. dan adanya pak Purbaya apakah bang teguh bakalan tertarik buat Gambung di pemerintahan🙏🙏
Terus tanyain ke","yg setuju tolong like🙏, om ded undang bang teguh aprianto lagi.. bahas sistem hacking (maaf kalau salah sebut) yg di punya pak purbaya😊.. dan adanya pak purbaya apakah bang teguh bakalan tertarik buat gambung di pemerintahan🙏🙏
terus tanyain ke",yg setuju tolong like om ded undang bang teguh aprianto lagi bahas sistem hacking maaf kalau salah sebut yg di punya pak purbaya dan adanya pak purbaya apakah bang teguh bakalan tertarik buat gambung di pemerintahan terus tanyain ke
"OM TOLONG UNDANG MAS BOTOK DAN MAS TEGUH DARI PATI TENTANG PEMAKZULAN TANGGAL 31 OKTOBER. SIAPA TAU DENGAN DI UNDANGNYA MEREKA, KEBUSUKAN PEJABAT BISA TERBONGKAR😢","om tolong undang mas botok dan mas teguh dari pati tentang pemakzulan tanggal 31 oktober. siapa tau dengan di undangnya mereka, kebusukan pejabat bisa terbongkar😢",om tolong undang mas botok dan mas teguh dari pati tentang pemakzulan tanggal oktober siapa tau dengan di undangnya mereka kebusukan pejabat bisa terbongkar
Presiden Republik Indonesia Bapak Jenderal Prabowo Subianto harus memanggil Hecker2 Indonesia guna memperkuat pertahanan system Cyber Indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia bapak jenderal prabowo subianto harus memanggil hecker2 indonesia guna memperkuat pertahanan system cyber indonesia dan tidak ada kebocoran data ke luar negeri,presiden republik indonesia bapak jenderal prabowo subianto harus memanggil hecker indonesia guna memperkuat pertahanan system cyber indonesia dan tidak ada kebocoran data ke luar negeri
bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korup..dan elu tayangin di tv nasional yang elu hack,bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korup..dan elu tayangin di tv nasional yang elu hack,bjorka elu baru di akui hebat kalo bisa membuka semua pejabat indo yang korupdan elu tayangin di tv nasional yang elu hack
"Bjorka itu agen Polandia dilindungi  oleh NATO untuk obrak abrik Indonesia yang dekat dengan Tiongkok dan Rusia. 
LU AJA YANG TO LOL ATAU BELAGAK PILON.","bjorka itu agen polandia dilindungi  oleh nato untuk obrak abrik indonesia yang dekat dengan tiongkok dan rusia. 
lu aja yang to lol atau belagak pilon.",bjorka itu agen polandia dilindungi oleh nato untuk obrak abrik indonesia yang dekat dengan tiongkok dan rusia lu aja yang to lol atau belagak pilon
"17:52_bikin 😂😂😂
27:04 - 30.00_spiritualitas ala orang IT.👍
33:04_😮 pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester 6 jur. Jaringan Internet di UT di Medan.","17:52_bikin 😂😂😂
27:04 - 30.00_spiritualitas ala orang it.👍
33:04_😮 pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester 6 jur. jaringan internet di ut di medan.",bikin spiritualitas ala orang it pantesan anak ku gak prnh ada libur gawenya pdhl dia masih semester jur jaringan internet di ut di medan
"Ya Krn polisi udh gda IQ nya
Di otaknya cuma duittt aja","ya krn polisi udh gda iq nya
di otaknya cuma duittt aja",ya krn polisi udh gda iq nya di otaknya cuma duittt aja
Mlah  nangkap anak pank😂😂,mlah  nangkap anak pank😂😂,mlah nangkap anak pank
Mas teguh,mas teguh,mas teguh
"Terkait dengan yang di sampaikan Mas Teguh ke Mas Dedi , berarti Polisi kualitas BOSOK ya? Bukan sekali - sepuluh kali salah tangkap dan over pede, tapi ratusan kali bahkan mungkin ribuan kali ya kan?","terkait dengan yang di sampaikan mas teguh ke mas dedi , berarti polisi kualitas bosok ya? bukan sekali - sepuluh kali salah tangkap dan over pede, tapi ratusan kali bahkan mungkin ribuan kali ya kan?",terkait dengan yang di sampaikan mas teguh ke mas dedi berarti polisi kualitas bosok ya bukan sekali sepuluh kali salah tangkap dan over pede tapi ratusan kali bahkan mungkin ribuan kali ya kan
"Hacker mau putih mau hitam, ga keren itu. Mending orang2 pintar kaya abang ini bangun hardware. Biar dampak ekonominya lebih luas. Sebelum semi semikonduktor, coba buat mobo aja dulu, atau sebelum mobo, bikin ram aja dulu, atau sebelum bikin ram, dst.","hacker mau putih mau hitam, ga keren itu. mending orang2 pintar kaya abang ini bangun hardware. biar dampak ekonominya lebih luas. sebelum semi semikonduktor, coba buat mobo aja dulu, atau sebelum mobo, bikin ram aja dulu, atau sebelum bikin ram, dst.",hacker mau putih mau hitam ga keren itu mending orang pintar kaya abang ini bangun hardware biar dampak ekonominya lebih luas sebelum semi semikonduktor coba buat mobo aja dulu atau sebelum mobo bikin ram aja dulu atau sebelum bikin ram dst
"Saya kecewa dengan komdigi kecewa sebesar-besarnya, laporan tentang perjudian tidak ada yang di tanggapi saya udah sertakan link website dan screenshot untuk memvalidasi, konten live perjudian link dan screenshot nya juga masih nihil, gak ada yang bener bener di proses","saya kecewa dengan komdigi kecewa sebesar-besarnya, laporan tentang perjudian tidak ada yang di tanggapi saya udah sertakan link website dan screenshot untuk memvalidasi, konten live perjudian link dan screenshot nya juga masih nihil, gak ada yang bener bener di proses",saya kecewa dengan komdigi kecewa sebesarbesarnya laporan tentang perjudian tidak ada yang di tanggapi saya udah sertakan link website dan screenshot untuk memvalidasi konten live perjudian link dan screenshot nya juga masih nihil gak ada yang bener bener di proses
"Perhatikan dan dengarkan dengan teliti di menit 33:15
🗣🗣🗣🗣","perhatikan dan dengarkan dengan teliti di menit 33:15
🗣🗣🗣🗣",perhatikan dan dengarkan dengan teliti di menit
Ingin kelihatan cerdas malah kelihatan bodonya itulh pemerintah kita karna semua pemerintahan kita di isi org gak bermutu,ingin kelihatan cerdas malah kelihatan bodonya itulh pemerintah kita karna semua pemerintahan kita di isi org gak bermutu,ingin kelihatan cerdas malah kelihatan bodonya itulh pemerintah kita karna semua pemerintahan kita di isi org gak bermutu
nangkep maling motor aja ga becus sok sokan mau nangkep bjorka ngimpi?,nangkep maling motor aja ga becus sok sokan mau nangkep bjorka ngimpi?,nangkep maling motor aja ga becus sok sokan mau nangkep bjorka ngimpi
"Idun Ngisrael .. semuanya bisa di hack, masalah kekeringan, perbankan, crypto pokoke sing digital"" mudah buat ngerjainnya...😂😂","idun ngisrael .. semuanya bisa di hack, masalah kekeringan, perbankan, crypto pokoke sing digital"" mudah buat ngerjainnya...😂😂",idun ngisrael semuanya bisa di hack masalah kekeringan perbankan crypto pokoke sing digital mudah buat ngerjainnya
lebih better siap bang,lebih better siap bang,lebih better siap bang
Aku curiga bang teguh ini yg bikin cheat pekalongan..😂,aku curiga bang teguh ini yg bikin cheat pekalongan..😂,aku curiga bang teguh ini yg bikin cheat pekalongan
"jadi inget film hacker yg bilang ""no system is safe"" yak emg begitulah mau gimana pun juga tetep aja ga aman.

twitter mod dulu jaman blackberry banyak, bisa auto rt kayak twittanic , rtwit dll","jadi inget film hacker yg bilang ""no system is safe"" yak emg begitulah mau gimana pun juga tetep aja ga aman.

twitter mod dulu jaman blackberry banyak, bisa auto rt kayak twittanic , rtwit dll",jadi inget film hacker yg bilang no system is safe yak emg begitulah mau gimana pun juga tetep aja ga aman twitter mod dulu jaman blackberry banyak bisa auto rt kayak twittanic rtwit dll
"Betul, yg di tangkap Bukan hackers, nangkap orang yg salah. Hanya anak yatimpiatu","betul, yg di tangkap bukan hackers, nangkap orang yg salah. hanya anak yatimpiatu",betul yg di tangkap bukan hackers nangkap orang yg salah hanya anak yatimpiatu
Gue yakin bjorka ngakak ketika liat postingan yang katanya dirinya udah ketangkep😂😂😂,gue yakin bjorka ngakak ketika liat postingan yang katanya dirinya udah ketangkep😂😂😂,gue yakin bjorka ngakak ketika liat postingan yang katanya dirinya udah ketangkep
Bjorka.... Tolong pak PURBAYA dong.... Biar rakyat makmur semua... 🙏🏿🙏🏿🙏🏿🙏🏿,bjorka.... tolong pak purbaya dong.... biar rakyat makmur semua... 🙏🏿🙏🏿🙏🏿🙏🏿,bjorka tolong pak purbaya dong biar rakyat makmur semua
Nangkep judol aja gabisa sok sok an nangkep bjorka,nangkep judol aja gabisa sok sok an nangkep bjorka,nangkep judol aja gabisa sok sok an nangkep bjorka
Ahli REKAYASA DAN PRODUKSI HOAKS ADALAH INSTITUSI POLRI...Kaki tangan REZIM NJOKOWI... MODUS TSB ADALAH CARA UTK MERAIH JENJANG KARIER....PAMER PRESTASI...DAN UAPAYA MENUTUP AIB POLRI..DAN JUNJUNGANNYA...,ahli rekayasa dan produksi hoaks adalah institusi polri...kaki tangan rezim njokowi... modus tsb adalah cara utk meraih jenjang karier....pamer prestasi...dan uapaya menutup aib polri..dan junjungannya...,ahli rekayasa dan produksi hoaks adalah institusi polrikaki tangan rezim njokowi modus tsb adalah cara utk meraih jenjang karierpamer prestasidan uapaya menutup aib polridan junjungannya
"Tolong saya siapapun hecker atau yang punya kenalan hacker tolong bantu saya saya diancam san harus bayar uang teruss, tolongggggg😭😭😭🙏🙏🙏🙏","tolong saya siapapun hecker atau yang punya kenalan hacker tolong bantu saya saya diancam san harus bayar uang teruss, tolongggggg😭😭😭🙏🙏🙏🙏",tolong saya siapapun hecker atau yang punya kenalan hacker tolong bantu saya saya diancam san harus bayar uang teruss tolongggggg
"Tolong aku siapapun itu 😭🙏🙏🙏, Ada yang tau ig nya mas hacker itu nggak bangg🙏🙏🙏, uang saya lagi di peras sama orang lain dan diancem bangg tolong bantu aku siapapun itu tolongg😭🙏🙏🙏","tolong aku siapapun itu 😭🙏🙏🙏, ada yang tau ig nya mas hacker itu nggak bangg🙏🙏🙏, uang saya lagi di peras sama orang lain dan diancem bangg tolong bantu aku siapapun itu tolongg😭🙏🙏🙏",tolong aku siapapun itu ada yang tau ig nya mas hacker itu nggak bangg uang saya lagi di peras sama orang lain dan diancem bangg tolong bantu aku siapapun itu tolongg
Menurut saya bjorka ini org dalam yg sengaja oleh oknum pejabat di setting sedemikian rupa untuk kepentingan politik,menurut saya bjorka ini org dalam yg sengaja oleh oknum pejabat di setting sedemikian rupa untuk kepentingan politik,menurut saya bjorka ini org dalam yg sengaja oleh oknum pejabat di setting sedemikian rupa untuk kepentingan politik
"Hacker itu orang seni it
Pemerintah harus rangkul 
Banyak putera & puteri terbaik Indonesia.","hacker itu orang seni it
pemerintah harus rangkul 
banyak putera & puteri terbaik indonesia.",hacker itu orang seni it pemerintah harus rangkul banyak putera puteri terbaik indonesia
"Pas pembahasan deface, gw jadi inget dulu mampangin nama gede gede di web yg gw deface😂 malu banget kalo inget itu😂😂 hacked by 😂😂","pas pembahasan deface, gw jadi inget dulu mampangin nama gede gede di web yg gw deface😂 malu banget kalo inget itu😂😂 hacked by 😂😂",pas pembahasan deface gw jadi inget dulu mampangin nama gede gede di web yg gw deface malu banget kalo inget itu hacked by
🤣🤣😁polisi LUCU🤡,🤣🤣😁polisi lucu🤡,polisi lucu
"Ini gue demen sama podcast ini.... Cadazz...

Hebat ya anak autis bisa dididik jd hacker hebat❤","ini gue demen sama podcast ini.... cadazz...

hebat ya anak autis bisa dididik jd hacker hebat❤",ini gue demen sama podcast ini cadazz hebat ya anak autis bisa dididik jd hacker hebat
Usul om ded judol itu sama Kya korupsi....uang bnyak lari triliunan ke kambojo,usul om ded judol itu sama kya korupsi....uang bnyak lari triliunan ke kambojo,usul om ded judol itu sama kya korupsiuang bnyak lari triliunan ke kambojo
Hacker harus mengungkap kpruptor di indonesia,hacker harus mengungkap kpruptor di indonesia,hacker harus mengungkap kpruptor di indonesia
